iso2,standardised_legal_form_orbis,national_legal_form_orbis
KE,Private limited companies,Limited liability company
KE,Non profit organisations,Limited company by guarantee
KG,Public limited companies,Open joint stock company
KG,Companies with unknown/unrecorded legal form,NA
KG,Public limited companies,Joint stock company
KG,Private limited companies,Limited liability company
KG,Branches,Branch
KG,Private limited companies,Closed joint stock company
KG,Other legal forms,Public fund
KG,Non profit organisations,Public institution
KG,Other legal forms,State company
KG,Non profit organisations,Religious institution
KG,Non profit organisations,Association
KG,Other legal forms,Credit union
KG,Other legal forms,Condominium
KG,Other legal forms,Small business
KG,Sole traders/proprietorships,Personal business enterprise
KG,Other legal forms,Agricultural company
KG,Partnerships,Cooperative company
KG,Foreign companies,Representative office
KG,Other legal forms,Union
KG,Non profit organisations,Public water utilities association
KG,Other legal forms,Municipal company
KG,Other legal forms,Additional liability company
KG,Other legal forms,Political party
KG,Partnerships,General partnership
KG,Public authorities,Territorial self-government
KG,Other legal forms,Joint venture company
KG,Public authorities,Municipality
KG,Partnerships,Limited partnership
KG,Partnerships,Law firm
KG,Other legal forms,Non-government pension fund
KH,Companies with unknown/unrecorded legal form,NA
KH,Public limited companies,Public limited company
KH,Branches,Branch
KH,Public limited companies,Insurance stock company
KH,Private limited companies,Proprietary limited company
KH,Private limited companies,Limited company
KH,Private limited companies,Private limited company
KH,Other legal forms,Joint venture company
KH,Private limited companies,Incorporated business
KH,Foreign companies,Foreign company
KH,Private limited companies,Limited liability company
KH,Public limited companies,Joint stock company
KH,Sole traders/proprietorships,Sole proprietorship
KH,Partnerships,Partnership
KH,Private limited companies,Corporation
KI,Companies with unknown/unrecorded legal form,NA
KM,Private limited companies,Private limited company
KM,Companies with unknown/unrecorded legal form,NA
KM,Private limited companies,Limited liability company
KM,Sole traders/proprietorships,Sole trader
KM,Public limited companies,Limited company
KM,Public authorities,Public authority
KN,Companies with unknown/unrecorded legal form,NA
KN,Public limited companies,Public limited company
KN,Public limited companies,Insurance stock company
KN,Branches,Branch
KN,Private limited companies,Limited liability company
KN,Other legal forms,Fund
KN,Private limited companies,Incorporated business
KN,Private limited companies,Private company
KN,Non profit organisations,Foundation
KN,Other legal forms,International business company
KN,Private limited companies,Private limited company
KP,Companies with unknown/unrecorded legal form,NA
KR,Public limited companies,Public limited company by shares
KR,Public limited companies,Limited company by shares
KR,Public authorities,Government body
KR,Companies with unknown/unrecorded legal form,NA
KR,Private limited companies,Private limited company
KR,Partnerships,Cooperative company
KR,Sole traders/proprietorships,Individual company
KR,Non profit organisations,Non profit organization
KR,Public limited companies,Insurance stock company
KR,Non profit organisations,Educational institution
KR,Partnerships,General partnership
KR,Non profit organisations,Health institution
KR,Partnerships,Limited partnership
KR,Non profit organisations,Mutual company
KR,Branches,Branch
KR,Branches,Branch of a foreign company
KR,Other legal forms,Fund
KR,Other legal forms,Unit trust
KR,Other legal forms,Unlisted closed-ended investment company
KR,Other legal forms,Open-ended investment company
KR,Other legal forms,Closed-ended investment company
KW,Private limited companies,Private shareholding company
KW,Public limited companies,Public shareholding company
KW,Public limited companies,Public limited company
KW,Private limited companies,Limited liability company
KW,Companies with unknown/unrecorded legal form,NA
KW,Public authorities,Government body
KW,Non profit organisations,Non profit organization
KW,Private limited companies,One-person company
KW,Other legal forms,Joint venture company
KW,Other legal forms,Company
KW,Public limited companies,Insurance stock company
KW,Partnerships,General partnership
KW,Sole traders/proprietorships,Sole proprietorship
KW,Public limited companies,Joint stock company
KW,Branches,Branch of a foreign company
KW,Partnerships,Limited partnership
KW,Other legal forms,Free zone company
KW,Other legal forms,Open-ended investment company
KW,Branches,Branch
KW,Partnerships,Limited partnership by shares
KZ,Partnerships,Limited liability partnership
KZ,Public limited companies,Joint stock company - AO
KZ,Companies with unknown/unrecorded legal form,NA
KZ,Partnerships,Limited partnership - KT
KZ,Public limited companies,Insurance stock company
KZ,Other legal forms,State company - GP
KZ,Partnerships,Production cooperative company
KZ,Branches,Branch (representation)
KZ,Partnerships,General partnership
KZ,Other legal forms,State company (operational management) - GP
KZ,Branches,Branch
KZ,Non profit organisations,Institution
KZ,Public limited companies,Open joint stock company
KZ,Non profit organisations,Non-commercial organization/partnership/cooperative
KZ,Other legal forms,Trust fund
KZ,Non profit organisations,Social organization
KZ,Partnerships,Consumers cooperative company
KZ,Public authorities,Government body
KZ,Other legal forms,Social fund
KZ,Private limited companies,Private company
KZ,Non profit organisations,Religious institution
KZ,Other legal forms,Association of legal entities
KZ,Other legal forms,Additional liability company - TDO
KZ,Partnerships,Agricultural partnership
KZ,Private limited companies,Closed joint stock company
KZ,Partnerships,Economic partnership
KZ,Other legal forms,Government company
KZ,Other legal forms,Daughter company - DO
KZ,Public limited companies,Public limited company
LA,Companies with unknown/unrecorded legal form,NA
LA,Public limited companies,Public limited company
LA,Branches,Branch
LA,Public limited companies,Insurance stock company
LA,Public limited companies,Joint stock company
LA,Private limited companies,Limited company
LA,Other legal forms,Joint venture company
LA,Private limited companies,Bank
LA,Foreign companies,Foreign company
LA,Other legal forms,Private equity fund
LB,Public limited companies,Joint stock company
LB,Other legal forms,Government owned corporation
LB,Non profit organisations,Non profit organization
LB,Public limited companies,Joint stock company - holding
LB,Companies with unknown/unrecorded legal form,NA
LB,Public limited companies,Joint stock company - offshore
LB,Public limited companies,Insurance stock company
LB,Partnerships,Limited partnership
LB,Private limited companies,Limited liability company
LB,Sole traders/proprietorships,Sole proprietorship
LB,Public authorities,Government body
LB,Partnerships,General partnership
LB,Foreign companies,Foreign (registered) company's office
LB,Other legal forms,Company
LB,Public limited companies,Public limited company
LB,Branches,Branch
LB,Other legal forms,Non-legal entity
LB,Other legal forms,Open-ended investment company
LB,Private limited companies,Semi-public limited company
LC,Public limited companies,Public limited company
LC,Companies with unknown/unrecorded legal form,NA
LC,Public limited companies,Limited company
LC,Other legal forms,Fund
LC,Other legal forms,International business company
LC,Private limited companies,Limited liability company
LI,Public limited companies,Limited company
LI,Non profit organisations,Foundation
LI,Public limited companies,Public limited company
LI,Other legal forms,Establishment
LI,Companies with unknown/unrecorded legal form,NA
LI,Public authorities,Public authority
LI,Partnerships,Limited partnership
LI,Non profit organisations,Association
LI,Other legal forms,Trust company
LI,Private limited companies,Limited liability company
LI,Public limited companies,Insurance stock company
LI,Partnerships,General partnership
LI,Sole traders/proprietorships,Sole trader
LI,Other legal forms,Trust fund
LI,Branches,Branch of a foreign company
LI,Foreign companies,Foreign company
LI,Partnerships,Cooperative society
LI,Other legal forms,Fund
LI,Private limited companies,Private limited company
LI,Sole traders/proprietorships,Proprietorship company
LI,Partnerships,Limited partnership by shares
LI,Other legal forms,Institute
LI,Other legal forms,Collective trusteeship
LI,Other legal forms,Investment company with variable capital - icvc
LI,Other legal forms,Unit trust
LI,Other legal forms,Open-ended investment company
LI,Branches,Branch
LI,Non profit organisations,Non profit organization
LK,Public limited companies,Limited company
LK,Sole traders/proprietorships,Proprietorship company
LK,Public authorities,Public authority
LK,Public limited companies,Public limited company
LK,Private limited companies,Private limited company
LK,Companies with unknown/unrecorded legal form,NA
LK,Private limited companies,Limited liability company
LK,Public limited companies,Insurance stock company
LK,Branches,Branch
LK,Partnerships,General partnership
LK,Branches,Branch of a foreign company
LK,Sole traders/proprietorships,Sole trader
LK,Non profit organisations,Limited company by guarantee
LK,Non profit organisations,Association
LK,Foreign companies,Foreign company
LK,Partnerships,Cooperative society
LK,Non profit organisations,Foundation
LK,Partnerships,Limited partnership
LK,Other legal forms,Trust fund
LR,Public limited companies,Public limited company
LR,Private limited companies,Private limited company
LR,Public limited companies,Limited company
LR,Companies with unknown/unrecorded legal form,NA
LR,Branches,Branch of a foreign company
LR,Private limited companies,Limited liability company
LR,Sole traders/proprietorships,Sole trader
LR,Partnerships,General partnership
LR,Non profit organisations,Association
LR,Non profit organisations,Foundation
LR,Public limited companies,Corporation
LR,Other legal forms,Fund
LR,Branches,Branch
LS,Companies with unknown/unrecorded legal form,NA
LS,Private limited companies,Proprietary limited company
LS,Public limited companies,Public limited company
LS,Non profit organisations,Non profit company
LS,Other legal forms,Unit trust
LT,Private limited companies,Limited liability company - uab
LT,Public limited companies,Joint stock company - ab
LT,Public authorities,Budget company
LT,Other legal forms,State company - vi
LT,Non profit organisations,Public institution
LT,Non profit organisations,Association
LT,Partnerships,Cooperative company - kb
LT,Sole traders/proprietorships,Sole proprietorship - ii
LT,Partnerships,Small partnership
LT,Branches,Branch
LT,Other legal forms,Agricultural company - zub
LT,Other legal forms,Municipal company - si
LT,Partnerships,Limited partnership - kub
LT,Foreign companies,Representative office of foreign merchant
LT,Non profit organisations,Charitable organization
LT,Partnerships,General partnership - tub
LT,Public authorities,State budget company
LT,Partnerships,Partnership
LT,Public authorities,Municipal budget company
LT,Other legal forms,Bar association
LT,Non profit organisations,Chamber of commerce and industry
LT,Companies with unknown/unrecorded legal form,NA
LT,Other legal forms,Gardeners union
LT,Non profit organisations,Religious institution
LT,Other legal forms,Trade union
LT,Other legal forms,Condominium
LT,Other legal forms,Political party
LT,Other legal forms,European economic interest group
LT,Foreign companies,Representative of foreign juridical person
LT,Public limited companies,European company
LT,Other legal forms,Household enterprise
LT,Public authorities,Arbitration court
LT,Other legal forms,General management and reports center
LT,Non profit organisations,Non profit company
LT,Other legal forms,Organizational unit of political party
LT,Public authorities,Central bank
LT,Branches,Branch of a foreign company
LT,Public limited companies,State stock company
LT,Other legal forms,Investment fund
LT,Other legal forms,Fund
LT,Other legal forms,Open-ended investment company
LT,Private limited companies,Private limited liability company
LU,Partnerships,Limited partnership by shares - SCA
LU,Public limited companies,Limited company by shares - SA
LU,Private limited companies,Private limited liability company - SARL
LU,Partnerships,Limited partnership - SCS
LU,Public limited companies,European company
LU,Foreign companies,Foreign company
LU,Non profit organisations,Public institution
LU,Companies with unknown/unrecorded legal form,NA
LU,Public limited companies,Insurance stock company
LU,Partnerships,Cooperative society
LU,Non profit organisations,Foundation with public purpose
LU,Private limited companies,Limited liability company & partnership - SARL & Cie SCS
LU,Sole traders/proprietorships,"Independent natural person, craftsman"
LU,Branches,Branch
LU,Partnerships,General partnership - SNC
LU,Partnerships,Agricultural partnership
LU,Non profit organisations,Non profit association - ASBL
LU,Non profit organisations,Mutual company
LU,Non profit organisations,Foundation
LU,Other legal forms,European economic interest group
LU,Other legal forms,Investment company with variable capital - icvc
LU,Private limited companies,One-person company with limited liability
LU,Sole traders/proprietorships,Sole proprietorship
LU,Partnerships,Professional partnership
LU,Partnerships,Non statutory partnership - BGB
LU,Other legal forms,European economic joint venture
LU,Partnerships,Cooperative company
LU,Partnerships,Civil company
LU,Other legal forms,Mutual fund for investment
LU,Other legal forms,Open-ended investment company
LU,Other legal forms,Investment company with fixed capital
LU,Other legal forms,Fund
LU,Other legal forms,Investment fund
LU,Private limited companies,Bank
LU,Other legal forms,Investment company in risk capital
LU,Partnerships,Limited partnership by shares being liquidated - SCA
LU,Other legal forms,Economic joint venture
LU,Other legal forms,Economic interest group
LU,Public limited companies,Public limited company
LU,Other legal forms,Undertaking for collective investment in transferable securities
LU,Non profit organisations,Private foundation
LV,Private limited companies,Limited liability company - SIA
LV,Public limited companies,Joint stock company - AS
LV,Partnerships,Cooperative society - KB
LV,Public limited companies,Insurance stock company
LV,Public limited companies,European company
LV,Companies with unknown/unrecorded legal form,NA
LV,Partnerships,General partnership - PS
LV,Branches,Branch of a foreign company
LV,Sole traders/proprietorships,Individual merchant - IK
LV,Non profit organisations,Non profit association
LV,Partnerships,Limited partnership - KS
LV,Other legal forms,Farm
LV,Non profit organisations,Religious institution
LV,Other legal forms,European economic interest group
LV,Branches,Branch
LV,Non profit organisations,Non profit organization
LV,Sole traders/proprietorships,Sole proprietorship - IU
LV,Public authorities,State company - VI
LV,Other legal forms,Trade union
LV,Other legal forms,Political party
LV,Other legal forms,Cooperative union
LV,Foreign companies,Representative office
LV,Public limited companies,Public limited company
LV,Non profit organisations,"Association (league, union, society, club, etc.)"
LV,Public authorities,Local government company
LV,Other legal forms,Fishers farm
LV,Foreign companies,Representative office of foreign organization
LV,Public authorities,Arbitration court
LV,Other legal forms,Business enterprise
LV,Non profit organisations,Public organization
LV,Other legal forms,Open public fund
LV,Non profit organisations,Association of professionals
LV,Other legal forms,Family company
LV,Public authorities,Public body
LV,Other legal forms,Open-ended investment company
LV,Other legal forms,Investment fund
LV,Other legal forms,Fund
LV,Public authorities,Municipality
LY,Private limited companies,Limited liability company
LY,Companies with unknown/unrecorded legal form,NA
LY,Public limited companies,Limited company
LY,Private limited companies,Private limited company
LY,Public authorities,Public authority
LY,Non profit organisations,Association
LY,Partnerships,General partnership
LY,Sole traders/proprietorships,Sole trader
LY,Branches,Branch of a foreign company
LY,Partnerships,Limited partnership
LY,Public limited companies,Public limited company
MA,Companies with unknown/unrecorded legal form,NA
MA,Public limited companies,Limited company
MA,Private limited companies,"Limited company, simplified"
MA,Public limited companies,Public limited company
MA,Public limited companies,Insurance stock company
MA,Private limited companies,One-person company with limited liability
MA,Private limited companies,Limited liability company
MA,Branches,Branch
MA,Other legal forms,De facto corporation
MA,Partnerships,General partnership
MA,Partnerships,Limited partnership by shares
MA,Other legal forms,Real estate company
MA,Other legal forms,Economic interest group
MA,Partnerships,Limited partnership
MA,Partnerships,Civil company of professionals
MA,Other legal forms,Holding company
MA,Other legal forms,Investment company with variable capital - icvc
MA,Partnerships,Cooperative company
MA,Sole traders/proprietorships,Sole trader
MA,Other legal forms,Mutual fund for investment
MC,Public limited companies,Limited company - SA
MC,Private limited companies,Limited liability company
MC,Public limited companies,Public limited company
MC,Non profit organisations,Association
MC,Companies with unknown/unrecorded legal form,NA
MC,Branches,Branch of a foreign company
MC,Partnerships,General partnership - SNC
MC,Branches,Branch
MC,Sole traders/proprietorships,Sole trader
MC,Partnerships,Limited partnership
MC,Partnerships,Civil company
MC,Other legal forms,Fund
MC,Other legal forms,Real estate company
MC,Sole traders/proprietorships,Personal firm
MC,Public authorities,Public firm
MC,Other legal forms,De facto corporation - SDF
MC,Sole traders/proprietorships,Liberal profession
MC,Private limited companies,Private limited company
MC,Other legal forms,Mutual fund for investment
MC,Public authorities,Public authority
MC,Partnerships,Limited partnership by shares
MD,Foreign companies,Representative office
MD,Private limited companies,Limited liability company - SRL
MD,Companies with unknown/unrecorded legal form,NA
MD,Public limited companies,Closed joint stock company - SA
MD,Public limited companies,Open joint stock company - SA
MD,Other legal forms,State owned company - IS
MD,Public authorities,Public authority
MD,Public limited companies,Joint stock company
MD,Public limited companies,Insurance stock company
MD,Sole traders/proprietorships,Sole proprietorship - II
MD,Other legal forms,Private institution
MD,Non profit organisations,Non profit organization
MD,Partnerships,Cooperative company - CP
MD,Non profit organisations,Foundation
MD,Non profit organisations,Association / Federation
MD,Sole traders/proprietorships,Individual agricultural company - GT
MD,Other legal forms,Municipal company - IM
MD,Partnerships,General partnership
MD,Branches,Branch
MD,Partnerships,Production cooperative company
MD,Partnerships,Consumers cooperative company
MD,Non profit organisations,Social movement
MD,Non profit organisations,Association
MD,Partnerships,Collective farm
MD,Non profit organisations,Community association
MD,Other legal forms,Lease company
MD,Other legal forms,Employers union
MD,Other legal forms,Holding company
MD,Non profit organisations,Health institution
MD,Non profit organisations,Farmers' association
MD,Partnerships,Limited partnership
MD,Other legal forms,Political party
MD,Other legal forms,Household enterprise
MD,Partnerships,Cooperative society - CP
ME,Public limited companies,Joint stock company - a.d.
ME,Private limited companies,Limited liability company - d.o.o.
ME,Non profit organisations,Institution
ME,Foreign companies,Representative office of foreign legal entity
ME,Companies with unknown/unrecorded legal form,NA
ME,Public authorities,Public authority
ME,Public limited companies,Public limited company
ME,Partnerships,Limited partnership - k.d.
ME,Partnerships,General partnership - o.d.
ME,Sole traders/proprietorships,Entrepreneur - workshop
ME,Partnerships,Cooperative society
ME,Other legal forms,Social company
ME,Non profit organisations,Business association
ME,Branches,Branch
ME,Other legal forms,Fund
MG,Public limited companies,Limited company
MG,Companies with unknown/unrecorded legal form,NA
MG,Private limited companies,Limited liability company
MG,Private limited companies,Private limited company
MG,Sole traders/proprietorships,Sole trader
MG,Sole traders/proprietorships,Proprietorship company
MG,Public authorities,Public authority
MG,Non profit organisations,Association
MG,Partnerships,Cooperative company
MG,Non profit organisations,Foundation
MG,Branches,Branch of a foreign company
MH,Companies with unknown/unrecorded legal form,NA
MH,Public limited companies,Public limited company
MH,Partnerships,Limited partnership
MH,Private limited companies,Private limited company
MH,Private limited companies,Limited liability company
MH,Private limited companies,Limited company
MH,Other legal forms,Fund
MK,Private limited companies,One-person private limited company - EOOD
MK,Private limited companies,Private limited company - OOD
MK,Public limited companies,Public limited company - AD
MK,Companies with unknown/unrecorded legal form,NA
MK,Sole traders/proprietorships,Entrepreneur - self insured
MK,Public limited companies,Public limited partnership - KDA
MK,Sole traders/proprietorships,Sole proprietorship - TP
MK,Sole traders/proprietorships,Sole handicraftsman
MK,Partnerships,General partnership
MK,Partnerships,Co-operation
MK,Public limited companies,One-person public limited company - EAD
MK,Partnerships,Limited partnership
MK,Other legal forms,Fund
MK,Branches,Branch
ML,Public limited companies,Limited company
ML,Sole traders/proprietorships,Sole trader
ML,Private limited companies,Limited liability company
ML,Companies with unknown/unrecorded legal form,NA
ML,Non profit organisations,Association
ML,Non profit organisations,Foundation
ML,Public authorities,Public authority
MM,Companies with unknown/unrecorded legal form,NA
MM,Public limited companies,Public limited company
MM,Private limited companies,Limited company
MM,Foreign companies,Foreign company
MM,Branches,Branch
MN,Public limited companies,Joint stock company
MN,Companies with unknown/unrecorded legal form,NA
MN,Public limited companies,Public state owned company
MN,Other legal forms,State owned company
MN,Private limited companies,Limited liability company
MN,Public limited companies,Public limited company
MN,Other legal forms,Shareholding company
MN,Non profit organisations,Association
MN,Partnerships,Limited partnership
MN,Partnerships,Cooperative company
MN,Other legal forms,Non-banking financial organization
MN,Partnerships,Limited liability partnership
MR,Public limited companies,Limited company
MR,Companies with unknown/unrecorded legal form,NA
MR,Public authorities,Public authority
MR,Private limited companies,Limited liability company
MR,Other legal forms,Establishment
MR,Private limited companies,Private limited company
MR,Branches,Branch of a foreign company
MR,Sole traders/proprietorships,Sole trader
MR,Partnerships,Limited partnership
MT,Foreign companies,Overseas company
MT,Private limited companies,Limited liability company
MT,Private limited companies,Limited liability company - private exempt
MT,Other legal forms,Continued company
MT,Private limited companies,Limited liability company - private non-exempt
MT,Public limited companies,Public limited company
MT,Public limited companies,Limited liability company - public non-exempt
MT,Companies with unknown/unrecorded legal form,NA
MT,Partnerships,General partnership
MT,Other legal forms,Shipping company
MT,Other legal forms,Business name
MT,Partnerships,Limited partnership
MT,Public limited companies,Insurance stock company
MT,Other legal forms,Offshore company - non-trading
MT,Other legal forms,Offshore company - trading
MT,Other legal forms,Investment company with variable capital - icvc
MT,Other legal forms,Open-ended investment company
MT,Other legal forms,Investment fund
MT,Other legal forms,Fund
MT,Other legal forms,Pension fund
MT,Non profit organisations,Association
MT,Non profit organisations,Foundation
MT,Branches,Branch
MU,Public limited companies,Public limited company
MU,Private limited companies,Private limited company
MU,Public authorities,Public authority
MU,Companies with unknown/unrecorded legal form,NA
MU,Public limited companies,Limited company
MU,Public limited companies,Insurance stock company
MU,Partnerships,Limited partnership
MU,Non profit organisations,Limited company by guarantee
MU,Branches,Branch of a foreign company
MU,Partnerships,General partnership
MU,Other legal forms,Fund
MU,Private limited companies,Private company
MU,Non profit organisations,Foundation
MU,Other legal forms,International business company
MU,Other legal forms,Trust company
MU,Sole traders/proprietorships,Sole trader
MU,Other legal forms,Open-ended investment company
MU,Other legal forms,Unit trust
MU,Branches,Branch
MU,Private limited companies,Limited liability company
MV,Companies with unknown/unrecorded legal form,NA
MV,Branches,Branch
MW,Public limited companies,Public limited company
MW,Companies with unknown/unrecorded legal form,NA
MW,Public authorities,Public authority
MW,Private limited companies,Limited liability company
MW,Public limited companies,Insurance stock company
MW,Non profit organisations,Association
MW,Private limited companies,Private limited company
MW,Other legal forms,Establishment
MW,Public limited companies,Limited company
MW,Sole traders/proprietorships,Sole trader
MW,Partnerships,Limited partnership
MW,Partnerships,General partnership
MW,Sole traders/proprietorships,Proprietorship company
MW,Non profit organisations,Foundation
MW,Branches,Branch
MW,Branches,Branch of a foreign company
MW,Other legal forms,Trust fund
MX,Public limited companies,Limited company with variable capital
MX,Public limited companies,Public limited company
MX,Other legal forms,State owned company
MX,Companies with unknown/unrecorded legal form,NA
MX,Public limited companies,Public limited company with variable capital
MX,Public limited companies,Limited company
MX,Private limited companies,Limited liability company with variable capital
MX,Public limited companies,Investment promotion corporation with variable capital
MX,Public limited companies,Insurance stock company
MX,Public authorities,Public authority
MX,Private limited companies,Limited liability company
MX,Other legal forms,Trust
MX,Private limited companies,Rural production company with limited liability
MX,Partnerships,Civil company
MX,Sole traders/proprietorships,Sole trader
MX,Non profit organisations,Civil association
MX,Non profit organisations,Educational institution
MX,Other legal forms,Cooperative company for savings and loans with variable capital
MX,Private limited companies,Rural production company with limited liability with variable capital
MX,Public authorities,Local government body
MX,Partnerships,Cooperative company with variable capital
MX,Partnerships,Limited partnership
MX,Partnerships,Cooperative company
MX,Public limited companies,Investment promotion corporation
MX,Other legal forms,Rural production company with unlimited liability
MX,Non profit organisations,Society of social solidarity
MX,Public authorities,Municipality
MX,Non profit organisations,Association
MX,Other legal forms,Small business
MX,Other legal forms,Unlimited liability company with variable capital
MX,Non profit organisations,Religious institution
MX,Other legal forms,Consortium
MX,Non profit organisations,Chamber of commerce and industry
MX,Non profit organisations,Foundation
MX,Other legal forms,Condominium
MX,Partnerships,Limited partnership with variable capital
MX,Partnerships,General partnership
MX,Public authorities,Communal land
MX,Non profit organisations,Mutual company
MX,Non profit organisations,Agricultural association
MX,Non profit organisations,Health institution
MX,Other legal forms,Trade union
MX,Other legal forms,Real estate company
MX,Other legal forms,Unlimited liability company
MX,Other legal forms,Community of owners
MX,Public authorities,Municipal authority
MX,Private limited companies,Private limited company
MX,Other legal forms,Fund
MX,Other legal forms,Investment company with variable capital
MX,Partnerships,General partnership with variable capital
MX,Non profit organisations,Private institution of public interest
MX,Other legal forms,Open-ended investment company
MX,Branches,Branch
MX,Other legal forms,Agricultural insurance fund
MX,Partnerships,Limited partnership by shares with variable capital
MX,Other legal forms,Unlimited cooperative company
MX,Partnerships,Limited partnership by shares
MX,Public authorities,National credit & banking institution
MX,Public authorities,Embassy
MX,Non profit organisations,Cultural institution
MX,Partnerships,Cooperative company with unlimited liability
MX,Non profit organisations,Agricultural organization
MX,Other legal forms,Limited liability company of public interest with variable capital
MX,Non profit organisations,Association (school)
MY,Other legal forms,State owned company
MY,Private limited companies,Limited liability company
MY,Public limited companies,Public limited company
MY,Private limited companies,Private limited company
MY,Companies with unknown/unrecorded legal form,NA
MY,Public limited companies,Insurance stock company
MY,Foreign companies,Foreign company
MY,Other legal forms,Real estate investment trust
MY,Other legal forms,Investment trust
MY,Non profit organisations,Foundation
MY,Non profit organisations,Institution
MY,Non profit organisations,Association
MY,Private limited companies,Corporation
MY,Other legal forms,Unit trust
MY,Other legal forms,Fund
MY,Other legal forms,Open-ended investment company
MY,Branches,Branch
MY,Other legal forms,Unlisted closed-ended investment company
MY,Private limited companies,Limited company by shares
MY,Private limited companies,Incorporated business
MY,Private limited companies,Private company
MY,Sole traders/proprietorships,Sole proprietorship
MZ,Companies with unknown/unrecorded legal form,NA
MZ,Private limited companies,Private limited liability company
MZ,Non profit organisations,Educational institution
MZ,Public authorities,Public authority
MZ,Public limited companies,Public limited company
MZ,Non profit organisations,Association
MZ,Non profit organisations,Religious institution
MZ,Private limited companies,Limited company
MZ,Non profit organisations,Health institution
MZ,Non profit organisations,Foundation
MZ,Other legal forms,Fund
MZ,Private limited companies,Limited liability company
MZ,Branches,Branch
MZ,Other legal forms,Trust
NA,Private limited companies,Private limited company
NA,Public limited companies,Limited company
NA,Companies with unknown/unrecorded legal form,NA
NA,Public limited companies,Public limited company
NA,Public authorities,Public authority
NA,Sole traders/proprietorships,Proprietorship company
NA,Sole traders/proprietorships,Sole trader
NA,Partnerships,Limited partnership
NA,Branches,Branch of a foreign company
NA,Other legal forms,Unit trust
NA,Other legal forms,Fund
NA,Non profit organisations,Association
NA,Non profit organisations,Foundation
NA,Private limited companies,Limited liability company
NA,Partnerships,General partnership
NA,Other legal forms,Establishment
NE,Companies with unknown/unrecorded legal form,NA
NE,Sole traders/proprietorships,Sole proprietorship - EI
NE,Private limited companies,Limited liability company - SARL
NE,Private limited companies,One-person company with limited liability - SARLU/SURL
NE,Public limited companies,Limited company - SA
NE,Other legal forms,Economic interest group - GIE
NE,Partnerships,Civil company of professionals - SCP
NE,Partnerships,General partnership - SNC
NE,Partnerships,Limited partnership - SCS
NE,Public limited companies,One-person limited company - SAU
NE,Public authorities,Public institution of an industrial and commercial nature - EPIC
NE,Branches,Branch
NE,Non profit organisations,Association
NE,Partnerships,Cooperative company
NE,Private limited companies,Bank
NG,Public limited companies,Public limited company
NG,Companies with unknown/unrecorded legal form,NA
NG,Public limited companies,Insurance stock company
NG,Private limited companies,Private limited company
NG,Sole traders/proprietorships,Sole proprietorship
NG,Partnerships,Partnership
NG,Other legal forms,Holding company
NG,Private limited companies,Limited liability company
NG,Other legal forms,Fund
NG,Other legal forms,Private unlimited company
NG,Branches,Branch
NG,Non profit organisations,Limited company by guarantee
NG,Other legal forms,State owned company
NI,Companies with unknown/unrecorded legal form,NA
NI,Public limited companies,Insurance stock company
NI,Public limited companies,Public limited company
NI,Public limited companies,Corporation
NI,Branches,Branch
NL,Foreign companies,Foreign company - Rp.b.r.
NL,Companies with unknown/unrecorded legal form,NA
NL,Private limited companies,Private limited liability company - BV
NL,Public limited companies,Public limited liability company - NV
NL,Partnerships,Limited partnership - CV
NL,Partnerships,Cooperative company - C
NL,Public limited companies,Insurance stock company
NL,Non profit organisations,Mutual guarantee company - OW
NL,Non profit organisations,Foundation
NL,Non profit organisations,Association
NL,Partnerships,Partnership - M
NL,Branches,Branch
NL,Sole traders/proprietorships,Sole proprietorship - E
NL,Partnerships,General partnership - V.o.f.
NL,Other legal forms,Shipping company
NL,Other legal forms,Investment fund
NL,Other legal forms,Fund
NL,Other legal forms,Open-ended investment company
NL,Other legal forms,Investment company with variable capital
NL,Other legal forms,Unit trust
NL,Other legal forms,Closed-ended investment company
NL,Other legal forms,Mutual fund for investment
NL,Other legal forms,Unlisted closed-ended investment company
NL,Non profit organisations,Religious institution
NL,Public limited companies,Public limited company
NO,Public limited companies,Public limited company - ASA
NO,Partnerships,Cooperative society - SA (BA)
NO,Private limited companies,Limited liability company - AS
NO,Other legal forms,Company according to special law
NO,Non profit organisations,Mutual insurance company
NO,Branches,Branch of a foreign company
NO,Partnerships,Building cooperative company
NO,Other legal forms,State owned company - SF
NO,Non profit organisations,Foundation
NO,Companies with unknown/unrecorded legal form,NA
NO,Non profit organisations,Association / Society / Arrangement
NO,Public limited companies,Insurance stock company
NO,Partnerships,General partnership - ANS
NO,Other legal forms,Shared liability company - DA
NO,Partnerships,Savings bank
NO,Other legal forms,Securities fund
NO,Other legal forms,Part shipping company
NO,Other legal forms,Pension fund
NO,Public authorities,County municipal business company
NO,Non profit organisations,Joint ecclesiastical council
NO,Partnerships,Limited partnership - KS
NO,Other legal forms,Intermunicipal company - IKS
NO,Other legal forms,Joint ownership under the property law
NO,Sole traders/proprietorships,Sole trader
NO,Other legal forms,Municipal company - KF
NO,Other legal forms,Condominium of flat owners
NO,Other legal forms,Housing cooperative company - BL
NO,Public authorities,Organizational link
NO,Public limited companies,European company
NO,Other legal forms,Non-legal entity
NO,Non profit organisations,Mutual company
NO,Partnerships,Joint offices
NO,Other legal forms,Bankruptcy estate
NO,Foreign companies,Foreign company
NO,Public authorities,Municipality
NO,Public authorities,Administrative unit of public sector
NO,Partnerships,Jointly run business
